groupe,position,equipe_id,equipe,matchs_joues,victoires,nuls,defaites,buts_pour,buts_contre,difference_buts,points,forme,derniere_maj
GROUP_STAGE,1,766,Japan,2,1,1,0,6,2,4,4,,2026-06-22 20:35:19
GROUP_STAGE,2,825,Egypt,2,1,1,0,4,2,2,4,,2026-06-22 20:35:19
GROUP_STAGE,3,815,Morocco,2,1,1,0,2,1,1,4,,2026-06-22 20:35:19
GROUP_STAGE,4,8872,Norway,1,1,0,0,4,1,3,3,,2026-06-22 20:35:19
GROUP_STAGE,5,818,Colombia,1,1,0,0,3,1,2,3,,2026-06-22 20:35:19
GROUP_STAGE,6,8873,Scotland,1,1,0,0,1,0,1,3,,2026-06-22 20:35:19
GROUP_STAGE,7,761,Paraguay,2,1,0,1,2,4,-2,3,,2026-06-22 20:35:19
GROUP_STAGE,8,1930,Cape Verde Islands,2,0,2,0,2,2,0,2,,2026-06-22 20:35:19
GROUP_STAGE,9,783,New Zealand,1,0,1,0,2,2,0,1,,2026-06-22 20:35:19
GROUP_STAGE,10,788,Switzerland,1,0,1,0,1,1,0,1,,2026-06-22 20:35:19
GROUP_STAGE,11,758,Uruguay,1,0,1,0,1,1,0,1,,2026-06-22 20:35:19
GROUP_STAGE,12,1934,Congo DR,1,0,1,0,1,1,0,1,,2026-06-22 20:35:19
GROUP_STAGE,13,840,Iran,1,0,1,0,0,0,0,1,,2026-06-22 20:35:19
GROUP_STAGE,14,774,South Africa,2,0,1,1,1,3,-2,1,,2026-06-22 20:35:19
GROUP_STAGE,15,1060,Bosnia-Herzegovina,2,0,1,1,2,5,-3,1,,2026-06-22 20:35:19
GROUP_STAGE,16,9460,Curaçao,2,0,1,1,1,7,-6,1,,2026-06-22 20:35:19
GROUP_STAGE,17,769,Mexico,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,18,828,Canada,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,19,771,United States,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,20,764,Brazil,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,21,759,Germany,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,22,8601,Netherlands,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,23,760,Spain,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,24,805,Belgium,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,25,773,France,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,26,8062,Iraq,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,27,762,Argentina,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,28,765,Portugal,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,29,770,England,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,30,763,Ghana,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,31,8070,Uzbekistan,0,0,0,0,0,0,0,0,,2026-06-22 20:35:19
GROUP_STAGE,32,798,Czechia,1,0,0,1,1,2,-1,0,,2026-06-22 20:35:19
GROUP_STAGE,33,1935,Ivory Coast,1,0,0,1,1,2,-1,0,,2026-06-22 20:35:19
GROUP_STAGE,34,772,South Korea,1,0,0,1,0,1,-1,0,,2026-06-22 20:35:19
GROUP_STAGE,35,791,Ecuador,1,0,0,1,0,1,-1,0,,2026-06-22 20:35:19
GROUP_STAGE,36,1836,Panama,1,0,0,1,0,1,-1,0,,2026-06-22 20:35:19
GROUP_STAGE,37,799,Croatia,1,0,0,1,2,4,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,38,804,Senegal,1,0,0,1,1,3,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,39,8049,Jordan,1,0,0,1,1,3,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,40,779,Australia,1,0,0,1,0,2,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,41,803,Turkey,1,0,0,1,0,2,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,42,816,Austria,1,0,0,1,0,2,-2,0,,2026-06-22 20:35:19
GROUP_STAGE,43,836,Haiti,1,0,0,1,0,3,-3,0,,2026-06-22 20:35:19
GROUP_STAGE,44,778,Algeria,1,0,0,1,0,3,-3,0,,2026-06-22 20:35:19
GROUP_STAGE,45,792,Sweden,1,0,0,1,1,5,-4,0,,2026-06-22 20:35:19
GROUP_STAGE,46,802,Tunisia,1,0,0,1,1,5,-4,0,,2026-06-22 20:35:19
GROUP_STAGE,47,801,Saudi Arabia,1,0,0,1,0,4,-4,0,,2026-06-22 20:35:19
GROUP_STAGE,48,8030,Qatar,1,0,0,1,0,6,-6,0,,2026-06-22 20:35:19
