joueur_id,team_id,equipe,nom,prenom,nom_complet,date_naissance,nationalite,position,numero_maillot,derniere_maj
3160,758,Uruguay,,,Fernando Muslera,1986-06-16,Uruguay,Goalkeeper,,2026-06-19 16:48:13
30210,758,Uruguay,,,Santiago Mele,1997-09-06,Uruguay,Goalkeeper,,2026-06-19 16:48:13
30386,758,Uruguay,,,Sergio Rochet,1993-03-23,Uruguay,Goalkeeper,,2026-06-19 16:48:13
3165,758,Uruguay,,,Guillermo Varela,1993-03-24,Uruguay,Defence,,2026-06-19 16:48:13
28292,758,Uruguay,,,Ronald Araújo,1999-03-07,Uruguay,Defence,,2026-06-19 16:48:13
28326,758,Uruguay,,,Sebastían Cáceres,1999-08-18,Uruguay,Defence,,2026-06-19 16:48:13
28426,758,Uruguay,,,Matías Viña,1997-11-09,Uruguay,Defence,,2026-06-19 16:48:13
28740,758,Uruguay,,,Joaquín Piquerez,1998-08-24,Uruguay,Defence,,2026-06-19 16:48:13
28770,758,Uruguay,,,Maximiliano Araújo,2000-02-15,Uruguay,Defence,,2026-06-19 16:48:13
32754,758,Uruguay,,,Mathías Olivera,1997-10-31,Uruguay,Defence,,2026-06-19 16:48:13
32767,758,Uruguay,,,Santiago Bueno,1998-11-09,Uruguay,Defence,,2026-06-19 16:48:13
213277,758,Uruguay,,,José Giménez,1995-01-20,Uruguay,Defence,,2026-06-19 16:48:13
96,758,Uruguay,,,Federico Valverde,1998-07-22,Uruguay,Midfield,,2026-06-19 16:48:13
1244,758,Uruguay,,,Giorgian De Arrascaeta,1994-06-01,Uruguay,Midfield,,2026-06-19 16:48:13
2041,758,Uruguay,,,Rodrigo Bentancur,1997-06-25,Uruguay,Midfield,,2026-06-19 16:48:13
28549,758,Uruguay,,,Manuel Ugarte,2001-04-11,Uruguay,Midfield,,2026-06-19 16:48:13
28618,758,Uruguay,,,Brian Rodríguez,2000-05-20,Uruguay,Midfield,,2026-06-19 16:48:13
121007,758,Uruguay,,,Rodrigo Zalazar,1999-08-12,Uruguay,Midfield,,2026-06-19 16:48:13
122506,758,Uruguay,,,Facundo Pellistri,2001-12-20,Uruguay,Midfield,,2026-06-19 16:48:13
130957,758,Uruguay,,,Emiliano Martínez,1999-08-17,Uruguay,Midfield,,2026-06-19 16:48:13
152435,758,Uruguay,,,Juan Sanabria,2000-03-29,Uruguay,Midfield,,2026-06-19 16:48:13
168795,758,Uruguay,,,Nicolas de la Cruz,1997-06-01,Uruguay,Midfield,,2026-06-19 16:48:13
11206,758,Uruguay,,,Rodrigo Aguirre,1994-10-01,Uruguay,Offence,,2026-06-19 16:48:13
28612,758,Uruguay,,,Darwin Núñez,1999-06-24,Uruguay,Offence,,2026-06-19 16:48:13
28614,758,Uruguay,,,Agustín Canobbio,1998-10-01,Uruguay,Offence,,2026-06-19 16:48:13
112678,758,Uruguay,,,Federico Viñas,1998-06-30,Uruguay,Offence,,2026-06-19 16:48:13
316,759,Germany,,,Oliver Baumann,1990-06-02,Germany,Goalkeeper,,2026-06-19 16:48:20
341,759,Germany,,,Manuel Neuer,1986-03-27,Germany,Goalkeeper,,2026-06-19 16:48:20
6491,759,Germany,,,Alexander Nübel,1996-09-30,Germany,Goalkeeper,,2026-06-19 16:48:20
149,759,Germany,,,Jonathan Tah,1996-02-11,Germany,Defence,,2026-06-19 16:48:20
379,759,Germany,,,Waldemar Anton,1996-07-20,Germany,Defence,,2026-06-19 16:48:20
3177,759,Germany,,,Antonio Rüdiger,1993-03-03,Germany,Defence,,2026-06-19 16:48:20
9905,759,Germany,,,David Raum,1998-04-22,Germany,Defence,,2026-06-19 16:48:20
75539,759,Germany,,,Nico Schlotterbeck,1999-12-01,Germany,Defence,,2026-06-19 16:48:20
142732,759,Germany,,,Malick Thiaw,2001-08-08,Germany,Defence,,2026-06-19 16:48:20
184533,759,Germany,,,Nathaniel Brown,2003-06-16,Germany,Defence,,2026-06-19 16:48:20
320,759,Germany,,,Nadiem Amiri,1996-10-27,Germany,Midfield,,2026-06-19 16:48:20
359,759,Germany,,,Joshua Kimmich,1995-02-08,Germany,Midfield,,2026-06-19 16:48:20
3181,759,Germany,,,Leon Goretzka,1995-02-06,Germany,Midfield,,2026-06-19 16:48:20
8273,759,Germany,,,Pascal Groß,1991-06-15,Germany,Midfield,,2026-06-19 16:48:20
19334,759,Germany,,,Florian Wirtz,2003-05-03,Germany,Midfield,,2026-06-19 16:48:20
101074,759,Germany,,,Felix Kalu Nmecha,2000-10-10,Germany,Midfield,,2026-06-19 16:48:20
128565,759,Germany,,,Angelo Stiller,2001-04-04,Germany,Midfield,,2026-06-19 16:48:20
144393,759,Germany,,,Jamal Musiala,2003-02-26,Germany,Midfield,,2026-06-19 16:48:20
202665,759,Germany,,,Aleksandar Pavlović,2004-05-03,Germany,Midfield,,2026-06-19 16:48:20
212636,759,Germany,,,Assan Ouédraogo,2006-05-09,Germany,Midfield,,2026-06-19 16:48:20
171,759,Germany,,,Kai Havertz,1999-06-11,Germany,Offence,,2026-06-19 16:48:20
3184,759,Germany,,,Leroy Sané,1996-01-11,Germany,Offence,,2026-06-19 16:48:20
6928,759,Germany,,,Deniz Undav,1996-07-19,Germany,Offence,,2026-06-19 16:48:20
123333,759,Germany,,,Jamie Leweling,2001-02-26,Germany,Offence,,2026-06-19 16:48:20
133547,759,Germany,,,Nick Woltemade,2002-02-14,Germany,Offence,,2026-06-19 16:48:20
133903,759,Germany,,,Maximilian Beier,2002-10-17,Germany,Offence,,2026-06-19 16:48:20
4832,760,Spain,,,David Raya,1995-09-15,Spain,Goalkeeper,,2026-06-19 16:48:26
32570,760,Spain,,,Unai Simón,1997-06-11,Spain,Goalkeeper,,2026-06-19 16:48:26
152506,760,Spain,,,Joan García,2001-05-04,Spain,Goalkeeper,,2026-06-19 16:48:26
7884,760,Spain,,,Aymeric Laporte,1994-05-27,Spain,Defence,,2026-06-19 16:48:26
15863,760,Spain,,,Cucurella,1998-07-22,Spain,Defence,,2026-06-19 16:48:26
16739,760,Spain,,,Alejandro Grimaldo,1995-09-20,Spain,Defence,,2026-06-19 16:48:26
81037,760,Spain,,,Pedro Porro,1999-09-13,Spain,Defence,,2026-06-19 16:48:26
101345,760,Spain,,,Eric García,2001-01-09,Spain,Defence,,2026-06-19 16:48:26
176745,760,Spain,,,Marc Pubill,2003-06-20,Spain,Defence,,2026-06-19 16:48:26
217540,760,Spain,,,Pau Cubarsí,2007-01-22,Spain,Defence,,2026-06-19 16:48:26
22,760,Spain,,,Fabián Ruiz,1996-04-03,Spain,Midfield,,2026-06-19 16:48:26
70,760,Spain,,,Marcos Llorente,1995-01-30,Spain,Midfield,,2026-06-19 16:48:26
3199,760,Spain,,,Rodri,1996-06-22,Spain,Midfield,,2026-06-19 16:48:26
7935,760,Spain,,,Mikel Merino,1996-06-22,Spain,Midfield,,2026-06-19 16:48:26
23132,760,Spain,,,Dani Olmo,1998-05-07,Spain,Midfield,,2026-06-19 16:48:26
33154,760,Spain,,,Ferrán Torres,2000-02-29,Spain,Midfield,,2026-06-19 16:48:26
115035,760,Spain,,,Martín Zubimendi,1999-02-02,Spain,Midfield,,2026-06-19 16:48:26
133860,760,Spain,,,Pedri,2002-11-25,Spain,Midfield,,2026-06-19 16:48:26
171992,760,Spain,,,Pablo Gavira,2004-08-05,Spain,Midfield,,2026-06-19 16:48:26
180137,760,Spain,,,Mikel Oyarzabal,1997-04-21,Spain,Midfield,,2026-06-19 16:48:26
213278,760,Spain,,,Álex Baena,2001-07-20,Spain,Midfield,,2026-06-19 16:48:26
32056,760,Spain,,,Borja Iglesias,1993-01-17,Spain,Offence,,2026-06-19 16:48:26
152505,760,Spain,,,Yeremi Pino,2002-10-20,Spain,Offence,,2026-06-19 16:48:26
157135,760,Spain,,,Nico Williams,2002-07-12,Spain,Offence,,2026-06-19 16:48:26
